n_checks,n_comparisons,effect_size,sample_size,std_dev,Probability_of_finding_an_effect
1,20,0.05,1000,0.01,1
1,20,0.05,1000,0.05,1
1,20,0.05,1000,0.1,1
1,20,0.05,1000,0.2,1
1,20,0.05,5000,0.01,1
1,20,0.05,5000,0.05,1
1,20,0.05,5000,0.1,1
1,20,0.05,5000,0.2,1
1,20,0.05,10000,0.01,1
1,20,0.05,10000,0.05,1
1,20,0.05,10000,0.1,1
1,20,0.05,10000,0.2,1
1,20,0.1,100,0.01,1
1,20,0.1,100,0.05,1
1,20,0.1,100,0.1,1
1,20,0.1,100,0.2,1
1,20,0.1,1000,0.01,1
1,20,0.1,1000,0.05,1
1,20,0.1,1000,0.1,1
1,20,0.1,1000,0.2,1
1,20,0.1,5000,0.01,1
1,20,0.1,5000,0.05,1
1,20,0.1,5000,0.1,1
1,20,0.1,5000,0.2,1
1,20,0.1,10000,0.01,1
1,20,0.1,10000,0.05,1
1,20,0.1,10000,0.1,1
1,20,0.1,10000,0.2,1
1,20,0.2,100,0.01,1
1,20,0.2,100,0.05,1
1,20,0.2,100,0.1,1
1,20,0.2,100,0.2,1
1,20,0.2,1000,0.01,1
1,20,0.2,1000,0.05,1
1,20,0.2,1000,0.1,1
1,20,0.2,1000,0.2,1
1,20,0.2,5000,0.01,1
1,20,0.2,5000,0.05,1
1,20,0.2,5000,0.1,1
1,20,0.2,5000,0.2,1
1,20,0.2,10000,0.01,1
1,20,0.2,10000,0.05,1
1,20,0.2,10000,0.1,1
1,20,0.2,10000,0.2,1
2,1,0,100,0.01,0.0938
2,1,0,100,0.05,0.0816
2,1,0,100,0.1,0.0844
2,1,0,100,0.2,0.08
2,1,0,1000,0.01,0.0846
2,1,0,1000,0.05,0.0828
2,1,0,1000,0.1,0.0804
2,1,0,1000,0.2,0.0774
2,1,0,5000,0.01,0.0826
2,1,0,5000,0.05,0.086
2,1,0,5000,0.1,0.084
2,1,0,5000,0.2,0.0832
2,1,0,10000,0.01,0.0848
2,1,0,10000,0.05,0.076
2,1,0,10000,0.1,0.0862
2,1,0,10000,0.2,0.0874
2,1,0.01,100,0.01,1
2,1,0.01,100,0.05,0.339
2,1,0.01,100,0.1,0.1472
2,1,0.01,100,0.2,0.109
2,1,0.01,1000,0.01,1
2,1,0.01,1000,0.05,0.9944
2,1,0.01,1000,0.1,0.656
2,1,0.01,1000,0.2,0.2388
2,1,0.01,5000,0.01,1
2,1,0.01,5000,0.05,1
2,1,0.01,5000,0.1,0.999
2,1,0.01,5000,0.2,0.7336
2,1,0.01,10000,0.01,1
2,1,0.01,10000,0.05,1
2,1,0.01,10000,0.1,1
2,1,0.01,10000,0.2,0.9474
2,1,0.02,100,0.01,1
2,1,0.02,100,0.05,0.8168
2,1,0.02,100,0.1,0.3204
2,1,0.02,100,0.2,0.1414
2,1,0.02,1000,0.01,1
2,1,0.02,1000,0.05,1
2,1,0.02,1000,0.1,0.994
2,1,0.02,1000,0.2,0.6406
2,1,0.02,5000,0.01,1
2,1,0.02,5000,0.05,1
2,1,0.02,5000,0.1,1
2,1,0.02,5000,0.2,0.9994
2,1,0.02,10000,0.01,1
2,1,0.02,10000,0.05,1
2,1,0.02,10000,0.1,1
2,1,0.02,10000,0.2,1
2,1,0.05,100,0.01,1
2,1,0.05,100,0.05,1
2,1,0.05,100,0.1,0.9496
2,1,0.05,100,0.2,0.4624
2,1,0.05,1000,0.01,1
2,1,0.05,1000,0.05,1
2,1,0.05,1000,0.1,1
2,1,0.05,1000,0.2,1
2,1,0.05,5000,0.01,1
2,1,0.05,5000,0.05,1
2,1,0.05,5000,0.1,1
2,1,0.05,5000,0.2,1
2,1,0.05,10000,0.01,1
2,1,0.05,10000,0.05,1
2,1,0.05,10000,0.1,1
2,1,0.05,10000,0.2,1
2,1,0.1,100,0.01,1
2,1,0.1,100,0.05,1
2,1,0.1,100,0.1,1
2,1,0.1,100,0.2,0.9468
2,1,0.1,1000,0.01,1
2,1,0.1,1000,0.05,1
2,1,0.1,1000,0.1,1
2,1,0.1,1000,0.2,1
2,1,0.1,5000,0.01,1
2,1,0.1,5000,0.05,1
2,1,0.1,5000,0.1,1
2,1,0.1,5000,0.2,1
2,1,0.1,10000,0.01,1
2,1,0.1,10000,0.05,1
2,1,0.1,10000,0.1,1
2,1,0.1,10000,0.2,1
2,1,0.2,100,0.01,1
2,1,0.2,100,0.05,1
